元号(漢字),元号(ひらがな),開始日,終了日
大化,たいか,ユリウス暦645年7月29日,ユリウス暦650年3月22日
白雉,はくち、びゃくち、しらきぎす,ユリウス暦650年3月22日,ユリウス暦655年2月11日
朱鳥,しゅちょう、すちょう、あかみとり,ユリウス暦686年8月14日,ユリウス暦687年2月17日
大宝,たいほう、だいほう,ユリウス暦701年5月3日,ユリウス暦704年6月16日
慶雲,けいうん、きょううん,ユリウス暦704年6月16日,ユリウス暦708年2月7日
和銅,わどう,ユリウス暦708年2月7日,ユリウス暦715年10月3日
霊亀,れいき,ユリウス暦715年10月3日,ユリウス暦717年12月24日
養老,ようろう,ユリウス暦717年12月24日,ユリウス暦724年3月3日
神亀,じんき,ユリウス暦724年3月3日,ユリウス暦729年9月2日
天平,てんぴょう,ユリウス暦729年9月2日,ユリウス暦749年5月4日
天平感宝,てんぴょうかんぽう,ユリウス暦749年5月4日,ユリウス暦749年8月19日
天平勝宝,てんぴょうしょうほう,ユリウス暦749年8月19日,ユリウス暦757年9月6日
天平宝字,てんぴょうほうじ,ユリウス暦757年9月6日,ユリウス暦765年2月1日
天平神護,てんぴょうじんご,ユリウス暦765年2月1日,ユリウス暦767年9月13日
神護景雲,じんごけいうん,ユリウス暦767年9月13日,ユリウス暦770年10月23日
宝亀,ほうき,ユリウス暦770年10月23日,ユリウス暦781年1月30日
天応,てんおう、てんのう,ユリウス暦781年1月30日,ユリウス暦782年9月30日
延暦,えんりゃく,ユリウス暦782年9月30日,ユリウス暦806年6月8日
大同,だいどう,ユリウス暦806年6月8日,ユリウス暦810年10月20日
弘仁,こうにん,ユリウス暦810年10月20日,ユリウス暦824年2月8日
天長,てんちょう,ユリウス暦824年2月8日,ユリウス暦834年2月14日
承和,じょうわ、しょうわ,ユリウス暦834年2月14日,ユリウス暦848年7月16日
嘉祥,かしょう、かじょう,ユリウス暦848年7月16日,ユリウス暦851年6月1日
仁寿,にんじゅ,ユリウス暦851年6月1日,ユリウス暦854年12月23日
斉衡,さいこう,ユリウス暦854年12月23日,ユリウス暦857年3月20日
天安,てんあん、てんなん,ユリウス暦857年3月20日,ユリウス暦859年5月20日
貞観,じょうがん,ユリウス暦859年5月20日,ユリウス暦877年6月1日
元慶,がんぎょう,ユリウス暦877年6月1日,ユリウス暦885年3月11日
仁和,にんな、にんわ,ユリウス暦885年3月11日,ユリウス暦889年5月30日
寛平,かんぴょう、かんぺい、かんへい,ユリウス暦889年5月30日,ユリウス暦898年5月20日
昌泰,しょうたい,ユリウス暦898年5月20日,ユリウス暦901年8月31日
延喜,えんぎ,ユリウス暦901年8月31日,ユリウス暦923年5月29日
延長,えんちょう,ユリウス暦923年5月29日,ユリウス暦931年5月16日
承平,じょうへい、しょうへい,ユリウス暦931年5月16日,ユリウス暦938年6月22日
天慶,てんぎょう、てんきょう,ユリウス暦938年6月22日,ユリウス暦947年5月15日
天暦,てんりゃく,ユリウス暦947年5月15日,ユリウス暦957年11月21日
天徳,てんとく,ユリウス暦957年11月21日,ユリウス暦961年3月5日
応和,おうわ,ユリウス暦961年3月5日,ユリウス暦964年8月19日
康保,こうほう,ユリウス暦964年8月19日,ユリウス暦968年9月8日
安和,あんな、あんわ,ユリウス暦968年9月8日,ユリウス暦970年5月3日
天禄,てんろく,ユリウス暦970年5月3日,ユリウス暦974年1月16日
天延,てんえん,ユリウス暦974年1月16日,ユリウス暦976年8月11日
貞元,じょうげん,ユリウス暦976年8月11日,ユリウス暦978年12月31日
天元,てんげん,ユリウス暦978年12月31日,ユリウス暦983年5月29日
永観,えいかん,ユリウス暦983年5月29日,ユリウス暦985年5月19日
寛和,かんな、かんわ,ユリウス暦985年5月19日,ユリウス暦987年5月5日
永延,えいえん,ユリウス暦987年5月5日,ユリウス暦989年9月10日
永祚,えいそ,ユリウス暦989年9月10日,ユリウス暦990年11月26日
正暦,しょうりゃく,ユリウス暦990年11月26日,ユリウス暦995年3月25日
長徳,ちょうとく,ユリウス暦995年3月25日,ユリウス暦999年2月1日
長保,ちょうほう,ユリウス暦999年2月1日,ユリウス暦1004年8月8日
寛弘,かんこう,ユリウス暦1004年8月8日,ユリウス暦1013年2月8日
長和,ちょうわ,ユリウス暦1013年2月8日,ユリウス暦1017年5月21日
寛仁,かんにん,ユリウス暦1017年5月21日,ユリウス暦1021年3月17日
治安,じあん,ユリウス暦1021年3月17日,ユリウス暦1024年8月19日
万寿,まんじゅ,ユリウス暦1024年8月19日,ユリウス暦1028年8月18日
長元,ちょうげん,ユリウス暦1028年8月18日,ユリウス暦1037年5月9日
長暦,ちょうりゃく,ユリウス暦1037年5月9日,ユリウス暦1040年12月16日
長久,ちょうきゅう,ユリウス暦1040年12月16日,ユリウス暦1044年12月16日
寛徳,かんとく,ユリウス暦1044年12月16日,ユリウス暦1046年5月22日
永承,えいしょう、えいじょう,ユリウス暦1046年5月22日,ユリウス暦1053年2月2日
天喜,てんぎ、てんき,ユリウス暦1053年2月2日,ユリウス暦1058年9月19日
康平,こうへい,ユリウス暦1058年9月19日,ユリウス暦1065年9月4日
治暦,じりゃく,ユリウス暦1065年9月4日,ユリウス暦1069年5月6日
延久,えんきゅう,ユリウス暦1069年5月6日,ユリウス暦1074年9月16日
承保,じょうほう、しょうほう,ユリウス暦1074年9月16日,ユリウス暦1077年12月5日
承暦,じょうりゃく、しょうりゃく,ユリウス暦1077年12月5日,ユリウス暦1081年3月22日
永保,えいほう,ユリウス暦1081年3月22日,ユリウス暦1084年3月15日
応徳,おうとく,ユリウス暦1084年3月15日,ユリウス暦1087年5月11日
寛治,かんじ,ユリウス暦1087年5月11日,ユリウス暦1095年1月23日
嘉保,かほう,ユリウス暦1095年1月23日,ユリウス暦1097年1月3日
永長,えいちょう,ユリウス暦1097年1月3日,ユリウス暦1097年12月27日
承徳,じょうとく、しょうとく,ユリウス暦1097年12月27日,ユリウス暦1099年9月15日
康和,こうわ,ユリウス暦1099年9月15日,ユリウス暦1104年3月8日
長治,ちょうじ,ユリウス暦1104年3月8日,ユリウス暦1106年5月13日
嘉承,かしょう、かじょう,ユリウス暦1106年5月13日,ユリウス暦1108年9月9日
天仁,てんにん,ユリウス暦1108年9月9日,ユリウス暦1110年7月31日
天永,てんえい,ユリウス暦1110年7月31日,ユリウス暦1113年8月25日
永久,えいきゅう,ユリウス暦1113年8月25日,ユリウス暦1118年4月25日
元永,げんえい,ユリウス暦1118年4月25日,ユリウス暦1120年5月9日
保安,ほうあん,ユリウス暦1120年5月9日,ユリウス暦1124年5月18日
天治,てんじ,ユリウス暦1124年5月18日,ユリウス暦1126年2月15日
大治,だいじ,ユリウス暦1126年2月15日,ユリウス暦1131年2月28日
天承,てんしょう、てんじょう,ユリウス暦1131年2月28日,ユリウス暦1132年9月21日
長承,ちょうしょう,ユリウス暦1132年9月21日,ユリウス暦1135年6月10日
保延,ほうえん,ユリウス暦1135年6月10日,ユリウス暦1141年8月13日
永治,えいじ,ユリウス暦1141年8月13日,ユリウス暦1142年5月25日
康治,こうじ,ユリウス暦1142年5月25日,ユリウス暦1144年3月28日
天養,てんよう,ユリウス暦1144年3月28日,ユリウス暦1145年8月12日
久安,きゅうあん,ユリウス暦1145年8月12日,ユリウス暦1151年2月14日
仁平,にんぺい、にんぴょう,ユリウス暦1151年2月14日,ユリウス暦1154年12月4日
久寿,きゅうじゅ,ユリウス暦1154年12月4日,ユリウス暦1156年5月18日
保元,ほうげん,ユリウス暦1156年5月18日,ユリウス暦1159年5月9日
平治,へいじ,ユリウス暦1159年5月9日,ユリウス暦1160年2月18日
永暦,えいりゃく,ユリウス暦1160年2月18日,ユリウス暦1161年9月24日
応保,おうほう、おうほ,ユリウス暦1161年9月24日,ユリウス暦1163年5月4日
長寛,ちょうかん,ユリウス暦1163年5月4日,ユリウス暦1165年7月14日
永万,えいまん,ユリウス暦1165年7月14日,ユリウス暦1166年9月23日
仁安,にんあん,ユリウス暦1166年9月23日,ユリウス暦1169年5月6日
嘉応,かおう,ユリウス暦1169年5月6日,ユリウス暦1171年5月27日
承安,じょうあん,ユリウス暦1171年5月27日,ユリウス暦1175年8月16日
安元,あんげん,ユリウス暦1175年8月16日,ユリウス暦1177年8月29日
治承,じしょう,ユリウス暦1177年8月29日,ユリウス暦1181年8月25日
養和,ようわ,ユリウス暦1181年8月25日,ユリウス暦1182年6月29日
寿永,じゅえい,ユリウス暦1182年6月29日,ユリウス暦1184年5月27日
元暦,げんりゃく,ユリウス暦1184年5月27日,ユリウス暦1185年9月9日
文治,ぶんじ,ユリウス暦1185年9月9日,ユリウス暦1190年5月16日
建久,けんきゅう,ユリウス暦1190年5月16日,ユリウス暦1199年5月23日
正治,しょうじ,ユリウス暦1199年5月23日,ユリウス暦1201年3月19日
建仁,けんにん,ユリウス暦1201年3月19日,ユリウス暦1204年3月23日
元久,げんきゅう,ユリウス暦1204年3月23日,ユリウス暦1206年6月5日
建永,けんえい,ユリウス暦1206年6月5日,ユリウス暦1207年11月16日
承元,じょうげん,ユリウス暦1207年11月16日,ユリウス暦1211年4月23日
建暦,けんりゃく,ユリウス暦1211年4月23日,ユリウス暦1214年1月18日
建保,けんぽう,ユリウス暦1214年1月18日,ユリウス暦1219年5月27日
承久,じょうきゅう,ユリウス暦1219年5月27日,ユリウス暦1222年5月25日
貞応,じょうおう,ユリウス暦1222年5月25日,ユリウス暦1224年12月31日
元仁,げんにん,ユリウス暦1224年12月31日,ユリウス暦1225年5月28日
嘉禄,かろく,ユリウス暦1225年5月28日,ユリウス暦1228年1月18日
安貞,あんてい,ユリウス暦1228年1月18日,ユリウス暦1229年3月31日
寛喜,かんぎ,ユリウス暦1229年3月31日,ユリウス暦1232年4月23日
貞永,じょうえい,ユリウス暦1232年4月23日,ユリウス暦1233年5月25日
天福,てんぷく,ユリウス暦1233年5月25日,ユリウス暦1234年11月27日
文暦,ぶんりゃく,ユリウス暦1234年11月27日,ユリウス暦1235年11月1日
嘉禎,かてい,ユリウス暦1235年11月1日,ユリウス暦1238年12月30日
暦仁,りゃくにん,ユリウス暦1238年12月30日,ユリウス暦1239年3月13日
延応,えんおう,ユリウス暦1239年3月13日,ユリウス暦1240年8月5日
仁治,にんじ,ユリウス暦1240年8月5日,ユリウス暦1243年3月18日
寛元,かんげん,ユリウス暦1243年3月18日,ユリウス暦1247年4月5日
宝治,ほうじ,ユリウス暦1247年4月5日,ユリウス暦1249年5月2日
建長,けんちょう,ユリウス暦1249年5月2日,ユリウス暦1256年10月24日
康元,こうげん,ユリウス暦1256年10月24日,ユリウス暦1257年3月31日
正嘉,しょうか,ユリウス暦1257年3月31日,ユリウス暦1259年4月20日
正元,しょうげん,ユリウス暦1259年4月20日,ユリウス暦1260年5月24日
文応,ぶんおう,ユリウス暦1260年5月24日,ユリウス暦1261年3月22日
弘長,こうちょう,ユリウス暦1261年3月22日,ユリウス暦1264年3月27日
文永,ぶんえい,ユリウス暦1264年3月27日,ユリウス暦1275年5月22日
建治,けんじ,ユリウス暦1275年5月22日,ユリウス暦1278年3月23日
弘安,こうあん,ユリウス暦1278年3月23日,ユリウス暦1288年5月29日
正応,しょうおう,ユリウス暦1288年5月29日,ユリウス暦1293年9月6日
永仁,えいにん,ユリウス暦1293年9月6日,ユリウス暦1299年5月25日
正安,しょうあん,ユリウス暦1299年5月25日,ユリウス暦1302年12月10日
乾元,けんげん,ユリウス暦1302年12月10日,ユリウス暦1303年9月16日
嘉元,かげん,ユリウス暦1303年9月16日,ユリウス暦1307年1月18日
徳治,とくじ,ユリウス暦1307年1月18日,ユリウス暦1308年11月22日
延慶,えんきょう,ユリウス暦1308年11月22日,ユリウス暦1311年5月17日
応長,おうちょう,ユリウス暦1311年5月17日,ユリウス暦1312年4月27日
正和,しょうわ,ユリウス暦1312年4月27日,ユリウス暦1317年3月16日
文保,ぶんぽう,ユリウス暦1317年3月16日,ユリウス暦1319年5月18日
元応,げんおう,ユリウス暦1319年5月18日,ユリウス暦1321年3月22日
元亨,げんこう,ユリウス暦1321年3月22日,ユリウス暦1324年12月25日
正中,しょうちゅう,ユリウス暦1324年12月25日,ユリウス暦1326年5月28日
嘉暦,かりゃく,ユリウス暦1326年5月28日,ユリウス暦1329年9月22日
元徳,げんとく,ユリウス暦1329年9月22日,(大覚寺統: ユリウス暦1331年9月11日) (持明院統: ユリウス暦1332年5月23日)
大覚寺統 (南朝),,,
元弘,げんこう,ユリウス暦1331年9月11日,ユリウス暦1334年3月5日
持明院統 (北朝),,,
正慶,しょうけい、しょうきょう,ユリウス暦1332年5月23日,ユリウス暦1333年7月7日
南北朝時代,,,
建武,けんむ,ユリウス暦1334年3月5日,(南朝: ユリウス暦1336年4月11日) (北朝: ユリウス暦1338年10月11日)
南朝,,,
延元,えんげん,ユリウス暦1336年4月11日,ユリウス暦1340年5月25日
興国,こうこく,ユリウス暦1340年5月25日,ユリウス暦1347年1月20日
正平,しょうへい,ユリウス暦1347年1月20日,ユリウス暦1370年8月16日
建徳,けんとく,ユリウス暦1370年8月16日,ユリウス暦1372年5月
文中,ぶんちゅう,ユリウス暦1372年5月,ユリウス暦1375年6月26日
天授,てんじゅ,ユリウス暦1375年6月26日,ユリウス暦1381年3月6日
弘和,こうわ,ユリウス暦1381年3月6日,ユリウス暦1384年5月18日
元中,げんちゅう,ユリウス暦1384年5月18日,ユリウス暦1392年11月19日
北朝,,,
暦応,りゃくおう、れきおう,ユリウス暦1338年10月11日,ユリウス暦1342年6月1日
康永,こうえい,ユリウス暦1342年6月1日,ユリウス暦1345年11月15日
貞和,じょうわ、ていわ,ユリウス暦1345年11月15日,ユリウス暦1350年4月4日
観応,かんのう、かんおう,ユリウス暦1350年4月4日,ユリウス暦1352年11月4日
文和,ぶんな、ぶんわ,ユリウス暦1352年11月4日,ユリウス暦1356年4月29日
延文,えんぶん,ユリウス暦1356年4月29日,ユリウス暦1361年5月4日
康安,こうあん,ユリウス暦1361年5月4日,ユリウス暦1362年10月11日
貞治,じょうじ、ていじ,ユリウス暦1362年10月11日,ユリウス暦1368年3月7日
応安,おうあん,ユリウス暦1368年3月7日,ユリウス暦1375年3月29日
永和,えいわ,ユリウス暦1375年3月29日,ユリウス暦1379年4月9日
康暦,こうりゃく,ユリウス暦1379年4月9日,ユリウス暦1381年3月20日
永徳,えいとく,ユリウス暦1381年3月20日,ユリウス暦1384年3月19日
至徳,しとく,ユリウス暦1384年3月19日,ユリウス暦1387年10月5日
嘉慶,かけい、かきょう,ユリウス暦1387年10月5日,ユリウス暦1389年3月7日
康応,こうおう,ユリウス暦1389年3月7日,ユリウス暦1390年4月12日
明徳,めいとく,ユリウス暦1390年4月12日,ユリウス暦1394年8月2日
南北朝合一後,,,
応永,おうえい,ユリウス暦1394年8月2日,ユリウス暦1428年6月10日
正長,しょうちょう,ユリウス暦1428年6月10日,ユリウス暦1429年10月3日
永享,えいきょう,ユリウス暦1429年10月3日,ユリウス暦1441年3月10日
嘉吉,かきつ,ユリウス暦1441年3月10日,ユリウス暦1444年2月23日
文安,ぶんあん,ユリウス暦1444年2月23日,ユリウス暦1449年8月16日
宝徳,ほうとく,ユリウス暦1449年8月16日,ユリウス暦1452年8月10日
享徳,きょうとく,ユリウス暦1452年8月10日,ユリウス暦1455年9月6日
康正,こうしょう,ユリウス暦1455年9月6日,ユリウス暦1457年10月16日
長禄,ちょうろく,ユリウス暦1457年10月16日,ユリウス暦1461年2月1日
寛正,かんしょう,ユリウス暦1461年2月1日,ユリウス暦1466年3月14日
文正,ぶんしょう,ユリウス暦1466年3月14日,ユリウス暦1467年4月9日
応仁,おうにん,ユリウス暦1467年4月9日,ユリウス暦1469年6月8日
文明,ぶんめい,ユリウス暦1469年6月8日,ユリウス暦1487年8月9日
長享,ちょうきょう,ユリウス暦1487年8月9日,ユリウス暦1489年9月16日
延徳,えんとく,ユリウス暦1489年9月16日,ユリウス暦1492年8月12日
明応,めいおう,ユリウス暦1492年8月12日,ユリウス暦1501年3月18日
文亀,ぶんき,ユリウス暦1501年3月18日,ユリウス暦1504年3月16日
永正,えいしょう,ユリウス暦1504年3月16日,ユリウス暦1521年9月23日
大永,たいえい,ユリウス暦1521年9月23日,ユリウス暦1528年9月3日
享禄,きょうろく,ユリウス暦1528年9月3日,ユリウス暦1532年8月29日
天文,てんぷん,ユリウス暦1532年8月29日,ユリウス暦1555年11月7日
弘治,こうじ,ユリウス暦1555年11月7日,ユリウス暦1558年3月18日
永禄,えいろく,ユリウス暦1558年3月18日,ユリウス暦1570年5月27日
元亀,げんき,ユリウス暦1570年5月27日,ユリウス暦1573年8月25日
天正,てんしょう,ユリウス暦1573年8月25日,グレゴリオ暦1593年1月10日
文禄,ぶんろく,グレゴリオ暦1593年1月10日,グレゴリオ暦1596年12月16日
慶長,けいちょう,グレゴリオ暦1596年12月16日,グレゴリオ暦1615年9月5日
元和,げんな,グレゴリオ暦1615年9月5日,グレゴリオ暦1624年4月17日
寛永,かんえい,グレゴリオ暦1624年4月17日,グレゴリオ暦1645年1月13日
正保,しょうほう,グレゴリオ暦1645年1月13日,グレゴリオ暦1648年4月7日
慶安,けいあん,グレゴリオ暦1648年4月7日,グレゴリオ暦1652年10月20日
承応,じょうおう,グレゴリオ暦1652年10月20日,グレゴリオ暦1655年5月18日
明暦,めいれき,グレゴリオ暦1655年5月18日,グレゴリオ暦1658年8月21日
万治,まんじ,グレゴリオ暦1658年8月21日,グレゴリオ暦1661年5月23日
寛文,かんぶん,グレゴリオ暦1661年5月23日,グレゴリオ暦1673年10月30日
延宝,えんぽう,グレゴリオ暦1673年10月30日,グレゴリオ暦1681年11月9日
天和,てんな,グレゴリオ暦1681年11月9日,グレゴリオ暦1684年4月5日
貞享,じょうきょう,グレゴリオ暦1684年4月5日,グレゴリオ暦1688年10月23日
元禄,げんろく,グレゴリオ暦1688年10月23日,グレゴリオ暦1704年4月16日
宝永,ほうえい,グレゴリオ暦1704年4月16日,グレゴリオ暦1711年6月11日
正徳,しょうとく,グレゴリオ暦1711年6月11日,グレゴリオ暦1716年8月9日
享保,きょうほう,グレゴリオ暦1716年8月9日,グレゴリオ暦1736年6月7日
元文,げんぶん,グレゴリオ暦1736年6月7日,グレゴリオ暦1741年4月12日
寛保,かんぽう,グレゴリオ暦1741年4月12日,グレゴリオ暦1744年4月3日
延享,えんきょう,グレゴリオ暦1744年4月3日,グレゴリオ暦1748年8月5日
寛延,かんえん,グレゴリオ暦1748年8月5日,グレゴリオ暦1751年12月14日
宝暦,ほうれき,グレゴリオ暦1751年12月14日,グレゴリオ暦1764年6月30日
明和,めいわ,グレゴリオ暦1764年6月30日,グレゴリオ暦1772年12月10日
安永,あんえい,グレゴリオ暦1772年12月10日,グレゴリオ暦1781年4月25日
天明,てんめい,グレゴリオ暦1781年4月25日,グレゴリオ暦1789年2月19日
寛政,かんせい,グレゴリオ暦1789年2月19日,グレゴリオ暦1801年3月19日
享和,きょうわ,グレゴリオ暦1801年3月19日,グレゴリオ暦1804年3月22日
文化,ぶんか,グレゴリオ暦1804年3月22日,グレゴリオ暦1818年5月26日
文政,ぶんせい,グレゴリオ暦1818年5月26日,グレゴリオ暦1831年1月23日
天保,てんぽう,グレゴリオ暦1831年1月23日,グレゴリオ暦1845年1月9日
弘化,こうか,グレゴリオ暦1845年1月9日,グレゴリオ暦1848年4月1日
嘉永,かえい,グレゴリオ暦1848年4月1日,グレゴリオ暦1855年1月15日
安政,あんせい,グレゴリオ暦1855年1月15日,グレゴリオ暦1860年4月8日
万延,まんえん,グレゴリオ暦1860年4月8日,グレゴリオ暦1861年3月29日
文久,ぶんきゅう,グレゴリオ暦1861年3月29日,グレゴリオ暦1864年3月27日
元治,げんじ,グレゴリオ暦1864年3月27日,グレゴリオ暦1865年5月1日
慶応,けいおう,グレゴリオ暦1865年5月1日,グレゴリオ暦1868年10月23日
明治,めいじ,グレゴリオ暦1868年1月25日,グレゴリオ暦1912年7月29日
大正,たいしょう,グレゴリオ暦1912年7月30日,グレゴリオ暦1926年12月24日
昭和,しょうわ,グレゴリオ暦1926年12月25日,グレゴリオ暦1989年1月7日
平成,へいせい,グレゴリオ暦1989年1月8日,グレゴリオ暦2019年4月30日
令和,れいわ,グレゴリオ暦2019年5月1日,None